coorte,test,voto_diploma,tipo_scuola,crediti_totali,crediti_con_voto,voto_medio,ASD,data_ASD,ARC,data_ARC,PRG,data_PRG,ANI,data_ANI,MDL,data_MDL,INGLESE,data_INGLESE,ALG,data_ALG,ANII,data_ANII,MP,data_MP,PC,data_PC,BDSI,data_BDSI,CPS,data_CPS,FIS,data_FIS,SO,data_SO,CAL,data_CAL,IT,data_IT,CS,data_CS,IntC,data_IntC,RETI,data_RETI,CAz,data_CAz
2011,17,64,IT,150,150,24,30,2012-06-22,25,2013-01-18,28,2012-07-10,30,2012-07-27,21,2013-07-30,0,0,21,2013-10-03,18,2013-07-16,25,2015-01-20,19,2013-10-01,26,2013-09-20,23,2013-06-10,0,0,27,2014-01-30,24,2014-06-10,24,2015-02-24,19,2014-06-18,0,0,27,2014-02-27,0,0
2011,19,100,LS,177,159,25,27,2012-07-11,23,2012-07-30,24,2012-07-10,28,2012-06-22,20,2012-06-14,0,0000-00-00,28,2013-09-05,28,2013-03-11,24,2013-06-26,27,2013-07-19,25,2013-06-28,23,2013-07-01,27,2013-09-16,25,2013-09-06,22,2014-06-10,22,2014-07-30,23,2014-07-24,0,0,30,2014-01-20,0,2014-06-30
2011,11,61,LS,180,159,26,30,2012-07-11,28,2013-07-24,26,2012-06-21,26,2012-06-22,28,2013-07-04,0,2012-10-02,20,2013-02-15,30,2013-07-01,28,2013-06-26,30,2013-01-15,26,2013-07-11,25,2013-07-29,20,2014-12-23,29,2014-01-30,27,2014-06-10,30,2014-01-20,19,2014-06-18,0,0,28,2014-02-13,0,2014-02-07
2011,14,61,LS,108,108,23,25,2012-09-18,20,2014-01-28,18,2013-01-16,25,2012-06-22,18,2014-06-11,0,0,23,2015-02-16,18,2013-01-23,23,2014-09-12,28,2013-07-19,20,2014-06-25,27,2014-06-26,0,0,25,2015-02-25,0,0,0,0,0,0,0,0,0,0,0,0
2011,13,61,LS,180,159,23,22,2012-07-11,27,2014-02-28,25,2012-07-10,24,2012-06-22,18,2013-09-12,0,2012-11-22,19,2013-06-13,30,2013-07-01,23,2013-09-11,19,2013-07-19,23,2013-09-20,23,2013-07-29,28,2015-02-19,23,2014-07-17,24,2014-06-04,19,2014-09-03,18,2015-02-05,0,0,27,2014-07-17,0,2014-02-07
2011,13,68,TC,105,102,21,26,2012-06-19,21,2014-02-28,19,2012-09-20,20,2014-02-27,18,2015-02-06,0,2013-06-05,19,2014-09-25,18,2015-01-14,24,2014-01-22,22,2013-06-20,20,2015-02-18,0,0,0,0,22,2015-02-11,0,0,0,0,0,0,0,0,0,0,0,0
2011,14,78,LS,39,39,23,25,2012-07-31,0,0,24,2012-07-25,0,0,0,0,0,0,0,0,0,0,25,2014-06-05,19,2014-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,17,78,IT,96,93,21,24,2013-07-11,20,2012-09-24,23,2014-02-04,27,2012-06-22,18,2014-09-11,0,2014-03-06,18,2015-01-16,18,2013-07-30,0,0,0,0,19,2014-07-11,23,2014-02-05,0,0,20,2015-02-25,0,0,0,0,0,0,0,0,0,0,0,0
2011,19,84,LS,63,60,26,24,2012-07-11,26,2013-02-18,28,2013-09-23,23,2012-07-27,0,0,0,2013-03-04,30,2013-07-12,0,0,0,0,0,0,0,0,25,2013-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,17,66,LS,132,129,24,25,2012-07-11,25,2013-02-18,24,2013-07-18,26,2014-02-27,20,2014-01-13,0,2012-05-16,23,2014-05-05,18,2014-07-28,24,2013-09-11,25,2014-02-04,25,2014-02-18,0,0,0,0,21,2015-01-26,18,2014-06-25,0,0,0,0,0,0,28,2015-01-22,0,0
